District,No. shops,No.greenery spaces,Number of people per 1 health care establish ment,Number of people per 1 pharmacy ,Average number of children in primary school,Average number of children in lower secondary school 
Bemowo,176,9,17,18,18,8.5
Białołęka,356,16,18,14,16,18
Bielany,237,6,14,16,12,8.5
Mokotów,588,4,4,8,6,2
Ochota,202,2,2,11,7,16
Praga-Północ,132,8,10,7,11,14
Praga-Południe,391,5,5,10,15,13
Rembertów,38,17,16,4,10,3
Śródmieście,687,3,1,1,2,7
Targówek,250,10,15,15,14,17
Ursus,153,11,13,17,17,10
Ursynów,218,12,8,9,13,15
Wawer,127,18,12,6,3.5,1
Wesoła,56,14,9,2,3.5,12
Wilanów,65,13,6,12,1,5
Włochy,150,15,11,13,9,11
Wola,365,7,3,5,5,6
Żoliborz,89,1,7,3,8,4